Match Name,Team,Outcome,Team A,Team B,Team A Pistol Winrate vs B,Team B Pistol Winrate vs A,Team A Pistol Winrate,Team B Pistol Winrate,Team A K/D Ratio,Team A Average Damage,Team A Average Combat Score,Team A Average First Kills,Team A Average First Deaths Per Round,Team B K/D Ratio,Team B Average Damage,Team B Average Combat Score,Team B Average First Kills,Team B Average First Deaths Per Round
Team Liquid vs Gentle Mates,Gentle Mates,1,Team Liquid,Gentle Mates,33.33333333333333,66.66666666666666,56.36363636363636,43.47826086956522,1.09,132.01,199.34,5.95,0.09,0.94,120.8,183.23,4.73,0.11
Team Liquid vs BBL Esports,Team Liquid,0,Team Liquid,BBL Esports,44.44444444444444,55.55555555555556,56.36363636363636,53.125,1.09,132.01,199.34,5.95,0.09,1.07,130.05,199.15,5.51,0.1
Team Liquid vs BBL Esports,BBL Esports,1,Team Liquid,BBL Esports,44.44444444444444,55.55555555555556,56.36363636363636,53.125,1.09,132.01,199.34,5.95,0.09,1.07,130.05,199.15,5.51,0.1
Team Liquid vs BBL Esports,Team Liquid,0,Team Liquid,BBL Esports,44.44444444444444,55.55555555555556,56.36363636363636,53.125,1.09,132.01,199.34,5.95,0.09,1.07,130.05,199.15,5.51,0.1
Team Liquid vs BBL Esports,BBL Esports,1,Team Liquid,BBL Esports,44.44444444444444,55.55555555555556,56.36363636363636,53.125,1.09,132.01,199.34,5.95,0.09,1.07,130.05,199.15,5.51,0.1
Team Liquid vs BBL Esports,Team Liquid,1,Team Liquid,BBL Esports,44.44444444444444,55.55555555555556,56.36363636363636,53.125,1.09,132.01,199.34,5.95,0.09,1.07,130.05,199.15,5.51,0.1
Team Liquid vs BBL Esports,BBL Esports,0,Team Liquid,BBL Esports,44.44444444444444,55.55555555555556,56.36363636363636,53.125,1.09,132.01,199.34,5.95,0.09,1.07,130.05,199.15,5.51,0.1
Apeks vs Natus Vincere,Apeks,0,Apeks,Natus Vincere,33.33333333333333,66.66666666666666,35.294117647058826,46.15384615384615,0.88,121.8,184.96,4.83,0.11,1.04,126.17,189.95,5.06,0.1
Apeks vs Natus Vincere,Natus Vincere,1,Apeks,Natus Vincere,33.33333333333333,66.66666666666666,35.294117647058826,46.15384615384615,0.88,121.8,184.96,4.83,0.11,1.04,126.17,189.95,5.06,0.1
Apeks vs Natus Vincere,Apeks,1,Apeks,Natus Vincere,33.33333333333333,66.66666666666666,35.294117647058826,46.15384615384615,0.88,121.8,184.96,4.83,0.11,1.04,126.17,189.95,5.06,0.1
